step,dataset_index,timestamp,actual_state_1,actual_action_0,actual_action_1,actual_action_2,actual_action_3,actual_action_4,actual_action_5,predicted_action_0,predicted_action_1,predicted_action_2,predicted_action_3,predicted_action_4,predicted_action_5
0,0,0.0,53.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,83.56573486328125,89.9477310180664,90.0,90.0,89.96151733398438
1,1,0.10000000149011612,53.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,81.6597900390625,90.25157165527344,90.0,90.0,90.08787536621094
2,2,0.20000000298023224,60.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,84.87006378173828,90.5809326171875,90.0,90.0,90.10059356689453
3,3,0.30000001192092896,69.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,87.30862426757812,90.11378479003906,90.0,90.0,90.1827392578125
4,4,0.4000000059604645,76.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,88.97281646728516,90.39501953125,90.0,90.0,90.15420532226562
5,5,0.5,84.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.06767272949219,90.564208984375,90.0,90.0,90.19122314453125
6,6,0.6000000238418579,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,88.21601867675781,90.59317016601562,90.0,90.0,90.11663818359375
7,7,0.699999988079071,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,87.875732421875,90.39472198486328,90.0,90.0,90.13968658447266
8,8,0.800000011920929,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,88.03287506103516,90.5832748413086,90.0,90.0,90.10052490234375
9,9,0.8999999761581421,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,88.71253967285156,90.64905548095703,90.0,90.0,90.02770233154297
10,10,1.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,91.42198181152344,90.35905456542969,90.0,90.0,90.03034973144531
11,11,1.100000023841858,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.5527572631836,90.50595092773438,90.0,90.0,90.00584411621094
12,12,1.2000000476837158,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,93.61087036132812,89.73859405517578,90.0,90.0,90.04071807861328
13,13,1.2999999523162842,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,95.69747924804688,89.3749771118164,90.0,90.0,90.0716323852539
14,14,1.399999976158142,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,93.95761108398438,90.34072875976562,90.0,90.0,90.07816314697266
15,15,1.5,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,95.26533508300781,90.25164031982422,90.0,90.0,90.03680419921875
16,16,1.600000023841858,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,93.12139892578125,90.4819564819336,90.0,90.0,90.00574493408203
17,17,1.7000000476837158,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.97817993164062,90.57534790039062,90.0,90.0,89.9865493774414
18,18,1.7999999523162842,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,88.19316864013672,90.29139709472656,90.0,90.0,90.0600814819336
